65, 58
136, 76
144, 62
231, 219
281, 253
402, 328
406, 369
419, 388
480, 369
512, 473
521, 456
531, 415
541, 423
563, 19
575, 467
580, 525
593, 565
596, 40
625, 486
646, 597
655, 423
676, 309
727, 322
734, 696
760, 696
846, 561
904, 797
927, 814
939, 603
990, 910
996, 789
998, 820
1005, 819
1031, 475
1104, 985
1142, 1074
1147, 603
1148, 1046
1170, 723
1176, 300
1181, 214
1194, 974
1196, 922
1233, 1170
1259, 178
1282, 1170
1290, 1155
1362, 243
1475, 19
1491, 302
1512, 302
1551, 19
1553, 19
1556, 1406
1575, 1170
1599, 1372
1606, 257
1636, 1228
1670, 1283
1672, 934
1697, 1612
1703, 173
1709, 1484
1715, 1501
1747, 1645
1750, 1440
1753, 1089
1783, 1671
1821, 1359
1831, 19
1850, 1359
1859, 1140
1888, 1440
1893, 1149
1922, 1440
1936, 252
1938, 99
1945, 1415
1989, 1765
1996, 323
2038, 1125
2054, 1765
2055, 1940
2080, 215
2103, 984
2116, 71
2119, 1170
2121, 646
2122, 1172
2174, 1310
2184, 1308
2508, 648
2657, 1620
2660, 1501
2677, 1408
2697, 1440
2699, 1919
2734, 662
2749, 323
2766, 626
2792, 939
2800, 2177
2809, 2158
2829, 2251
2859, 773
2878, 2297
2892, 2286
2898, 2297
2911, 2191
2918, 19
2919, 2269
2920, 2191
2922, 2332
2923, 2191
2984, 131
3285, 58
3287, 962
3299, 2418
3361, 230
3378, 1844
3426, 1405
3434, 423
3437, 319
3441, 397
3489, 1840
3496, 2191
3498, 1076
3504, 1844
3505, 1844
3565, 2495
3570, 875
3575, 2525
3584, 2240
3589, 2193
3613, 1785
3620, 2406
3621, 122
3627, 2269
3632, 1781
3654, 1908
3664, 1947
3669, 973
3680, 1423
3682, 1747
3711, 2552
3713, 2551
3728, 1423
3740, 1649
3746, 602
3765, 19
3772, 100
3863, 2881
3879, 2551
3894, 2453
3908, 1747
3921, 2813
3937, 576
3952, 973
3958, 2974
3993, 2495
3998, 3013
